Word,PartOfSpeech,Length,NumMeaning,Meaning1,Meaning2,Meaning3
bagel,Noun,5,1,(Yiddish,,
batik,Verb,5,1,dye with wax,,
begin,Verb,5,3,take the first step or steps in carrying out an action,"have a beginning, in a temporal, spatial, or evaluative sense","set in motion, cause to start"
belay,Verb,5,2,turn a rope round an object or person in order to secure it or him,"fasten a boat to a bitt, pin, or cleat",
bevel,Verb,5,1,cut a bevel on; shape to a bevel,,
Bible,Noun,5,2,the sacred writings of the Christian religions,a book regarded as authoritative in its field,
blitz,Verb,5,1,attack suddenly and without warning,,
booth,Noun,5,3,a table (in a restaurant or bar,small area set off by walls for special use,United States actor and assassin of President Lincoln (1838-1865
borax,Noun,5,1,an ore of boron consisting of hydrated sodium borate; used as a flux or cleansing agent,,
boric,Adjective,5,1,of or relating to or derived from or containing boron,,
brain,Verb,5,2,hit on the head,kill by smashing someone's skull,
brink,Noun,5,3,a region marking a boundary,the edge of a steep place,the limit beyond which something happens or changes
broil,Verb,5,3,cook under a broiler,heat by a natural force,"be very hot, due to hot weather or exposure to the sun"
brood,Verb,5,3,think moodily or anxiously about something,"hang over, as of something threatening, dark, or menacing",be in a huff and display one's displeasure
broth,Noun,5,2,liquid in which meat and vegetables are simmered; used as a basis for e.g. soups or sauces,a thin soup of meat or fish or vegetable stock,
bugle,Verb,5,1,play on a bugle,,
bunch,Verb,5,2,form into a bunch,gather or cause to gather into a cluster,
caper,Verb,5,1,jump about playfully,,
catch,Verb,5,3,"discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state","perceive with the senses quickly, suddenly, or momentarily",reach with a blow or hit in a particular spot
charm,Verb,5,3,attract; cause to be enamored,"control by magic spells, as by practicing witchcraft",protect through supernatural powers or charms
chase,Verb,5,3,go after with the intent to catch,pursue someone sexually or romantically,cut a groove into
cheek,Verb,5,1,speak impudently to,,
cheka,Unknown,5,1,,,
child,Noun,5,3,a young person of either sex,a human offspring (son or daughter,an immature childish person
churn,Verb,5,2,stir (cream,be agitated,
cower,Verb,5,2,crouch or curl up,show submission or fear,
creel,Noun,5,1,a wicker basket used by anglers to hold fish,,
crock,Verb,5,2,"release color when rubbed, of badly dyed fabric",soil with or as with crock,
crowd,Verb,5,3,"cause to herd, drive, or crowd together",fill or occupy to the point of overflowing,to gather together in large numbers
cubic,Adjective,5,2,involving the cube and no higher power of a quantity or variable,having the shape of a cube; having three dimensions,
cupid,Noun,5,2,(Roman mythology,a symbol for love in the form of a cherubic naked boy with wings and a bow and arrow,
decoy,Verb,5,1,lure or entrap with or as if with a decoy,,
defer,Verb,5,2,hold back to a later time,yield to another's wish or opinion,
delay,Verb,5,3,cause to be slowed down or delayed,"act later than planned, scheduled, or required",stop or halt
denim,Noun,5,2,(used in the plural,a coarse durable twill-weave cotton fabric,
digit,Noun,5,3,one of the elements that collectively form a system of numeration,the length of breadth of a finger used as a linear measure,a finger or toe in human beings or corresponding body part in other vertebrates
ditto,Verb,5,1,repeat an action or statement,,
dross,Noun,5,2,worthless or dangerous material that should be removed,the scum formed by oxidation at the surface of molten metals,
drove,Verb,5,3,operate or control a vehicle,travel or be transported in a vehicle,cause someone or something to move by driving
duple,Adjective,5,3,consisting of or involving two parts or components usually in pairs,binary,or double
early,Adjective,5,3,at or near the beginning of a period of time or course of events or before the usual or expected time,being or occurring at an early stage of development,belonging to the distant past
easel,Noun,5,1,an upright tripod for displaying something (usually an artist's canvas,,
eight,Adjective,5,1,being one more than seven,,
fiery,Adjective,5,3,characterized by intense emotion,like or suggestive of fire,very intense
fleet,Adjective,5,1,moving very fast,,
flock,Verb,5,2,move as a crowd or in a group,come together as in a cluster or flock,
flora,Noun,5,2,all the plant life in a particular region or period,(botany,
flunk,Verb,5,1,fail to get a passing grade,,
foist,Verb,5,2,to force onto another,insert surreptitiously or without warrant,
folio,Noun,5,3,the system of numbering pages,a sheet of any written or printed material (especially in a manuscript or book,a book (or manuscript
forty,Adjective,5,1,being ten more than thirty,,
foyer,Noun,5,1,a large entrance or reception room or area,,
fresh,Adjective,5,3,"recently made, produced, or harvested",(of a cycle,imparting vitality and energy
fried,Adjective,5,1,cooked by frying in fat,,
frill,Noun,5,3,(paleontology,an external body part consisting of feathers or hair about the neck of a bird or other animal,a strip of pleated material used as a decoration or a trim
glitz,Noun,5,1,tasteless showiness,,
gravy,Noun,5,3,"a sauce made by adding stock, flour, or other ingredients to the juice and fat that drips from cooking meats",the seasoned but not thickened juices that drip from cooking meats; often a little water is added,a sudden happening that brings good fortune (as a sudden opportunity to make money
grist,Noun,5,1,grain intended to be or that has been ground,,
groom,Verb,5,3,educate for a future role or function,give a neat appearance to,care for one's external appearance
gruff,Adjective,5,2,brusque and surly and forbidding,deep and harsh sounding as if from shouting or illness or emotion,
guess,Verb,5,3,"expect, believe, or suppose","put forward, of a guess, in spite of possible refutation",judge tentatively or form an estimate of (quantities or time
halve,Verb,5,1,divide by two; divide into halves,,
heart,Noun,5,3,the locus of feelings and intuitions,the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body,the courage to carry on
hence,Adverb,5,3,(used to introduce a logical conclusion,from this place,from this time
hosta,Noun,5,1,robust east Asian clump-forming perennial herbs having racemose flowers: plantain lilies; sometimes placed in family Hostaceae,,
hydra,Noun,5,3,(Greek mythology,a long faint constellation in the southern hemisphere near the equator stretching between Virgo and Cancer,trouble that cannot be overcome by a single effort because of its many aspects or its persistent and pervasive quality
icing,Verb,5,3,decorate with frosting,cause to become ice or icy,put ice on or put on ice
inlet,Noun,5,2,an arm off of a larger body of water (often between rocky headlands,an opening through which fluid is admitted to a tube or container,
kasha,Noun,5,1,boiled or baked buckwheat,,
lapse,Verb,5,3,pass into a specified state or condition,"end, at least for a long time","drop to a lower level, as in one's morals or standards"
later,Adjective,5,3,being or occurring at an advanced period of time or after a usual or expected time,after the expected or usual time; delayed,of the immediate past or just previous to the present time
learn,Verb,5,3,gain knowledge or skills,"get to know or become aware of, usually accidentally",commit to memory; learn by heart
lobby,Verb,5,1,detain in conversation by or as if by holding on to the outer garments of; as for political or economic favors,,
major,Adjective,5,3,of greater importance or stature or rank,greater in scope or effect,greater in number or size or amount
minor,Adjective,5,3,of lesser importance or stature or rank,lesser in scope or effect,inferior in number or size or amount
mixer,Noun,5,3,a party of people assembled to promote sociability and communal activity,club soda or fruit juice used to mix with alcohol,electronic equipment that mixes two or more input signals to give a single output signal
moped,Verb,5,2,move around slowly and aimlessly,"be apathetic, gloomy, or dazed",
mouth,Verb,5,3,express in speech,articulate silently; form words with the lips only,touch with the mouth
mummy,Noun,5,2,informal terms for a mother,a body embalmed and dried and wrapped for burial (as in ancient Egypt,
mural,Adjective,5,1,of or relating to walls,,
nacho,Noun,5,1,a tortilla chip topped with cheese and chili-pepper and broiled,,
naval,Adjective,5,1,connected with or belonging to or used in a navy,,
ninja,Noun,5,2,a member of the ninja who were trained in martial arts and hired for espionage or sabotage or assassinations; a person skilled in ninjutsu,a class of 14th century Japanese who were trained in martial arts and were hired for espionage and assassinations,
noble,Adjective,5,3,impressive in appearance,of or belonging to or constituting the hereditary aristocracy especially as derived from feudal times,having or showing or indicative of high or elevated character
nudge,Verb,5,2,to push against gently,push into action by pestering or annoying gently,
oasis,Noun,5,2,a fertile tract in a desert (where the water table approaches the surface,a shelter serving as a place of safety or sanctuary,
often,Adverb,5,3,many times at short intervals,frequently or in great quantities,in many cases or instances
onlap,Unknown,5,1,,,
pagan,Adjective,5,1,not acknowledging the God of Christianity and Judaism and Islam,,
parka,Noun,5,1,a kind of heavy jacket (`windcheater' is a British term,,
patch,Verb,5,3,to join or unite the pieces of,provide with a patch; also used metaphorically,mend by putting a patch on
pesto,Noun,5,1,a sauce typically served with pasta; contains crushed basil leaves and garlic and pine nuts and Parmesan cheese in olive oil,,
phase,Verb,5,2,arrange in phases or stages,adjust so as to be in a synchronized condition,
piers,Noun,5,3,a platform built out from the shore into the water and supported by piles; provides access to ships and boats,(architecture,as a portion of wall between two doors or windows
piggy,Adjective,5,1,resembling swine; coarsely gluttonous or greedy,,
pious,Adjective,5,1,having or showing or expressing reverence for a deity,,
plank,Verb,5,3,cover with planks,set (something or oneself,cook and serve on a plank
plaza,Noun,5,2,a public square with room for pedestrians,mercantile establishment consisting of a carefully landscaped complex of shops representing leading merchandisers; usually includes restaurants and a convenient parking area; a modern version of the traditional marketplace,
polka,Verb,5,1,dance a polka,,
prime,Adjective,5,3,first in rank or degree,used of the first or originating agent,of superior grade
pupil,Noun,5,3,a learner who is enrolled in an educational institution,the contractile aperture in the center of the iris of the eye; resembles a large black dot,a young person attending school (up through senior high school
radar,Noun,5,1,measuring instrument in which the echo of a pulse of microwave radiation is used to detect and locate distant objects,,
ramen,Unknown,5,1,,,
recto,Noun,5,1,right-hand page,,
relic,Noun,5,2,an antiquity that has survived from the distant past,something of sentimental value,
ricer,Noun,5,1,a kitchen utensil used for ricing soft foods by extruding them through small holes,,
robot,Noun,5,1,a mechanism that can move automatically,,
rodeo,Noun,5,2,an exhibition of cowboy skills,an enclosure for cattle that have been rounded up,
rouge,Verb,5,1,redden by applying rouge to,,
rugby,Noun,5,1,a form of football played with an oval ball,,
rupee,Noun,5,3,the basic unit of money in Sri Lanka; equal to 100 cents,the basic unit of money in Seychelles; equal to 100 cents,the basic unit of money in Nepal; equal to 100 paisa
saint,Verb,5,2,hold sacred,declare (a dead person,
sauna,Noun,5,1,a Finnish steam bath; steam is produced by pouring water over heated rocks,,
scent,Verb,5,3,cause to smell or be smelly,catch the scent of; get wind of,apply perfume to
scoff,Verb,5,2,laugh at with contempt and derision,treat with contemptuous disregard,
scold,Verb,5,2,censure severely or angrily,show one's unhappiness or critical attitude,
sheet,Verb,5,2,come down as if in sheets,"cover with a sheet, as if by wrapping",
shift,Verb,5,3,make a shift in or exchange of,change place or direction,move around
shoal,Verb,5,2,make shallow,become shallow,
skull,Noun,5,1,the bony skeleton of the head of vertebrates,,
skunk,Verb,5,1,defeat by a lurch,,
sneer,Verb,5,2,express through a scornful smile,smile contemptuously,
snipe,Verb,5,3,hunt or shoot snipe,aim and shoot with great precision,attack in speech or writing
steel,Verb,5,2,get ready for something difficult or unpleasant,"cover, plate, or edge with steel",
stilt,Noun,5,3,a column of wood or steel or concrete that is driven into the ground to provide support for a structure,one of two stout poles with foot rests in the middle; used for walking high above the ground,long-legged three-toed wading bird of brackish marshes of Australia
stoic,Adjective,5,2,seeming unaffected by pleasure or pain; impassive,pertaining to Stoicism or its followers,
stoma,Noun,5,2,a minute epidermal pore in a leaf or stem through which gases and water vapor can pass,a mouth or mouthlike opening (especially one created by surgery on the surface of the body to create an opening to an internal organ,
stool,Verb,5,3,"lure with a stool, as of wild fowl","react to a decoy, of wildfowl",grow shoots in the form of stools or tillers
sugar,Verb,5,1,sweeten with sugar,,
swarm,Verb,5,2,"be teeming, be abuzz",move in large numbers,
tiers,Noun,5,3,a relative position or degree of value in a graded group,any one of two or more competitors who tie one another,a worker who ties something
tilak,Unknown,5,1,,,
titan,Noun,5,3,a person of exceptional importance and reputation,(Greek mythology,Heaven
trans,Unknown,5,1,,,
troll,Verb,5,3,"circulate, move around",cause to move round and round,sing the parts of (a round
trump,Verb,5,3,produce a sound as if from a trumpet,get the better of,play a trump
twain,Noun,5,1,two items of the same kind,,
twice,Adverb,5,2,two times,to double the degree,
usher,Verb,5,1,take (someone,,
valet,Verb,5,1,serve as a personal attendant to,,
verso,Noun,5,2,left-hand page,the side of a coin or medal that does not bear the principal design,
vesta,Noun,5,2,(Roman mythology,the brightest asteroid but the fourth to be discovered,
virus,Noun,5,3,(virology,DNA or RNA,a harmful or corrupting agency
vital,Adjective,5,3,urgently needed; absolutely necessary,performing an essential function in the living body,full of spirit; full of life
wedge,Verb,5,2,"put, fix, force, or implant",squeeze like a wedge into a tight space,
weird,Adjective,5,2,suggesting the operation of supernatural influences,strikingly odd or unusual,
worry,Verb,5,3,"be worried, concerned, anxious, troubled, or uneasy",be concerned with,disturb the peace of mind of; afflict with mental agitation or distress
wrong,Adjective,5,3,not correct; not in conformity with fact or truth,contrary to conscience or morality or law,not appropriate for a purpose or occasion
youth,Noun,5,3,a young person (especially a young man or boy,young people collectively,the time of life between childhood and maturity
absorb,Verb,6,3,become imbued,take up mentally,"take up, as of debts or payments"
access,Verb,6,2,obtain or retrieve from a storage device; as of information on a computer,reach or gain access to,
alcove,Noun,6,1,a small recess opening off a larger room,,
ambush,Verb,6,2,wait in hiding to attack,hunt (quarry,
annual,Adjective,6,3,completing its life cycle within a year,occurring or payable every year,or yearly
ballot,Verb,6,1,vote by ballot,,
bamboo,Noun,6,2,the hard woody stems of bamboo plants; used in construction and crafts and fishing poles,woody tropical grass having hollow woody stems; mature canes used for construction and furniture,
bangle,Noun,6,2,jewelry worn around the wrist for decoration,cheap showy jewelry or ornament on clothing,
barley,Noun,6,2,a grain of barley,cultivated since prehistoric times; grown for forage and grain,
beaker,Noun,6,2,a flatbottomed jar made of glass or plastic; used for chemistry,a cup (usually without a handle,
biopsy,Noun,6,1,examination of tissues or liquids from the living body to determine the existence or cause of a disease,,
biotic,Adjective,6,1,of or relating to living organisms,,
birdie,Verb,6,1,shoot in one stroke under par,,
bisect,Verb,6,1,cut in half or cut in two,,
blanch,Verb,6,2,"turn pale, as if in fear",cook (vegetables,
blight,Verb,6,1,cause to suffer a blight,,
bottle,Verb,6,2,store (liquids or gases,put into bottles,
brandy,Noun,6,1,distilled from wine or fermented fruit juice,,
bridge,Verb,6,3,connect or reduce the distance between,make a bridge across,cross over on a bridge
bunker,Verb,6,3,hit a golf ball into a bunker,fill (a ship's bunker,transfer cargo from a ship to a warehouse
cancel,Verb,6,3,postpone indefinitely or annul something that was scheduled,make up for,declare null and void; make ineffective
canopy,Verb,6,1,cover with a canopy,,
chapel,Noun,6,2,a place of worship that has its own altar,a service conducted in a place of worship that has its own altar,
choker,Noun,6,3,someone who kills by strangling,an unfortunate person who is unable to perform effectively because of nervous tension or agitation,necklace that fits tightly around a woman's neck
church,Verb,6,1,perform a special church rite or service for,,
civics,Noun,6,1,the social science of municipal affairs,,
closet,Verb,6,1,"confine to a small space, as for intensive work",,
cobweb,Noun,6,3,a fabric so delicate and transparent as to resemble a web of a spider,filaments from a web that was spun by a spider,a dense elaborate spider web that is more efficient than the orb web
colony,Noun,6,3,a body of people who settle far from home but maintain ties with their homeland; inhabitants remain nationals of their home state but are not literally under the home state's system of government,a group of organisms of the same type living or growing together,one of the 13 British colonies that formed the original states of the United States
convoy,Verb,6,1,escort in transit,,
cornea,Noun,6,1,the transparent dome-shaped anterior portion of the outer covering of the eye; it covers the iris and pupil and is continuous with the sclera,,
cortex,Noun,6,3,the layer of unmyelinated neurons (the grey matter,the tissue forming the outer layer of an organ or structure in plant or animal,the tissue that surrounds the lens nucleus
cosmos,Noun,6,2,everything that exists anywhere,any of various mostly Mexican herbs of the genus Cosmos having radiate heads of variously colored flowers and pinnate leaves; popular fall-blooming annuals,
crutch,Noun,6,2,a wooden or metal staff that fits under the armpit and reaches to the ground; used by disabled person while walking,anything that serves as an expedient,
curfew,Noun,6,3,the time that the curfew signal is sounded,a signal (usually a bell,an order that after a specific time certain activities (as being outside on the streets
dangle,Verb,6,2,hang freely,cause to dangle or hang freely,
debark,Verb,6,1,go ashore,,
debate,Verb,6,3,argue with one another,think about carefully; weigh,discuss the pros and cons of an issue
decent,Adjective,6,3,socially or conventionally correct; refined or virtuous,in harmony with the spirit of particular persons or occasion,conforming to conventions of sexual behavior
deluxe,Adjective,6,2,ostentatiously rich and superior in quality,elegant and sumptuous,
dental,Adjective,6,2,of or relating to the teeth,of or relating to dentistry,
dilute,Adjective,6,1,reduced in strength or concentration or quality or purity,,
domino,Noun,6,3,United States rhythm and blues pianist and singer and composer (born in 1928,a loose hooded cloak worn with a half mask as part of a masquerade costume,a mask covering the upper part of the face but with holes for the eyes
duplex,Adjective,6,2,(used technically of a device or process,allowing communication in opposite directions simultaneously,
echoed,Verb,6,3,to say again or imitate,ring or echo with sound,call to mind
enamel,Verb,6,1,"coat, inlay, or surface with enamel",,
estate,Noun,6,3,everything you own; all of your assets (whether real property or personal property,extensive landed property (especially in the country,a major social class or order of persons regarded collectively as part of the body politic of the country (especially in the United Kingdom
exotic,Adjective,6,2,being or from or characteristic of another place or part of the world,strikingly strange or unusual,
expire,Verb,6,3,lose validity,pass from physical life and lose all bodily attributes and functions necessary to sustain life,expel air
eyelid,Noun,6,1,either of two folds of skin that can be moved to cover or open the eye,,
facial,Adjective,6,2,of or concerning the face,of or pertaining to the outside surface of an object,
fellow,Noun,6,3,a boy or man,a friend who is frequently in the company of another,a person who is member of one's class or profession
fiasco,Noun,6,1,a sudden and violent collapse,,
fiesta,Noun,6,1,an elaborate party (often outdoors,,
finery,Noun,6,1,elaborate or showy attire and accessories,,
former,Adjective,6,3,referring to the first of two things or persons mentioned (or the earlier one or ones of several,belonging to some prior time,(used especially of persons
Friday,Noun,6,1,the sixth day of the week; the fifth working day,,
fringe,Verb,6,2,adorn with a fringe,decorate with or as if with a surrounding fringe,
gaffer,Noun,6,3,an elderly man,an electrician responsible for lighting on a movie or tv set,a person who exercises control over workers
gaggle,Verb,6,1,make a noise characteristic of a goose,,
garage,Verb,6,1,keep or store in a garage,,
gentle,Adjective,6,3,soft and mild; not harsh or stern or severe,having or showing a kindly or tender nature,quiet and soothing
gentry,Noun,6,1,the most powerful members of a society,,
gospel,Noun,6,3,"the four books in the New Testament (Matthew, Mark, Luke, and John",an unquestionable truth,folk music consisting of a genre of a cappella music originating with Black slaves in the United States and featuring call and response; influential on the development of other genres of popular music (especially soul
gravel,Verb,6,3,"cause annoyance in; disturb, especially by minor irritations",cover with gravel,be a mystery or bewildering to
guitar,Noun,6,1,a stringed instrument usually having six strings; played by strumming or plucking,,
gullet,Noun,6,1,the passage between the pharynx and the stomach,,
hamlet,Noun,6,3,a community of people smaller than a village,the hero of William Shakespeare's tragedy who hoped to avenge the murder of his father,a settlement smaller than a town
hatful,Noun,6,1,as many or as much as a hat will hold,,
hawker,Noun,6,2,someone who travels about selling his wares (as on the streets or at carnivals,a person who breeds and trains hawks and who follows the sport of falconry,
hearth,Noun,6,3,an open recess in a wall at the base of a chimney where a fire can be built,home symbolized as a part of the fireplace,an area near a fireplace (usually paved and extending out into a room
heaven,Noun,6,2,any place of complete bliss and delight and peace,the abode of God and the angels,
hector,Verb,6,1,be bossy towards,,
hunger,Verb,6,3,feel the need to eat,"have a craving, appetite, or great desire for",be hungry; go without food
hustle,Verb,6,3,cause to move furtively and hurriedly,move or cause to move energetically or busily,sell something to or obtain something from by energetic and especially underhanded activity
ignite,Verb,6,3,cause to start burning; subject to fire or great heat,start to burn or burst into flames,arouse or excite feelings and passions
inning,Noun,6,1,(baseball,,
jovial,Adjective,6,1,full of or showing high-spirited merriment,,
karate,Noun,6,1,a traditional Japanese system of unarmed combat; sharp blows and kicks are given to pressure-sensitive points on the body of the opponent,,
keener,Adjective,6,3,having or demonstrating ability to recognize or draw fine distinctions,intense or sharp,very good
kettle,Noun,6,3,a metal pot for stewing or boiling; usually has a lid,the quantity a kettle will hold,(geology
linden,Noun,6,2,soft light-colored wood of any of various linden trees; used in making crates and boxes and in carving and millwork,any of various deciduous trees of the genus Tilia with heart-shaped leaves and drooping cymose clusters of yellowish often fragrant flowers; several yield valuable timber,
linger,Verb,6,3,remain present although waning or gradually dying,be about,leave slowly and hesitantly
litter,Verb,6,2,make a place messy by strewing garbage around,give birth to a litter of animals,
locket,Noun,6,1,a small ornamental case; usually contains a picture or a lock of hair and is worn on a necklace,,
lumber,Verb,6,2,move heavily or clumsily,"cut lumber, as in woods and forests",
martin,Noun,6,3,French bishop who is a patron saint of France (died in 397,United States actor and comedian (born in 1945,United States actress (1913-1990
masher,Noun,6,2,a man who is aggressive in making amorous advances to women,a kitchen utensil used for mashing (e.g. potatoes,
median,Adjective,6,3,relating to or constituting the middle value of an ordered set of values (or the average of the middle two in a set with an even number of values,dividing an animal into right and left halves,relating to or situated in or extending toward the middle
mentor,Verb,6,1,serve as a teacher or trusted counselor,,
mikado,Noun,6,1,the emperor of Japan; when regarded as a religious leader the emperor is called tenno,,
mirage,Noun,6,2,an optical illusion in which atmospheric refraction by a layer of hot air distorts or inverts reflections of distant objects,something illusory and unattainable,
misery,Noun,6,2,a state of ill-being due to affliction or misfortune,a feeling of intense unhappiness,
mishit,Unknown,6,1,,,
misuse,Verb,6,2,apply to a wrong thing or person; apply badly or incorrectly,change the inherent purpose or function of something,
mucous,Adjective,6,1,of or secreting or covered with or resembling mucus,,
muscle,Verb,6,1,make one's way by force,,
museum,Noun,6,1,a depository for collecting and displaying objects having scientific or historical or artistic value,,
mutual,Adjective,6,2,common to or shared by two or more parties,concerning each of two or more persons or things; especially given or done in return,
muzzle,Verb,6,3,fit with a muzzle,prevent from speaking out,tie a gag around someone's mouth in order to silence them
nether,Adjective,6,2,dwelling beneath the surface of the earth,located below or beneath something else,
noodle,Noun,6,2,a ribbonlike strip of pasta,informal terms for a human head,
notion,Noun,6,3,a vague idea in which some confidence is placed,a general inclusive concept,an odd or fanciful or capricious idea
nozzle,Noun,6,2,a projecting spout from which a fluid is discharged,informal terms for the nose,
palate,Noun,6,1,the upper surface of the mouth that separates the oral and nasal cavities,,
